UID,YSS Category (for shivam's reference),URLs for testing before redirection,YSS Old URL (Redirection FROM),YSS New URL (Redirection TO)
849120,OIS,https://test.yssofindia.org/teachings-library/creating-a-meaningful-personal-relationship-with-god-by-swami-anilananda-giri,/blog/creating-a-meaningful-personal-relationship-with-god-by-swami-anilananda-giri,/teachings-library/creating-a-meaningful-personal-relationship-with-god-by-swami-anilananda-giri
896073,OIS,https://test.yssofindia.org/teachings-library/the-gurus-unconditional-love-for-each-disciple-by-uma-mata,/blog/the-gurus-unconditional-love-for-each-disciple-by-uma-mata,/teachings-library/the-gurus-unconditional-love-for-each-disciple-by-uma-mata
871989,OIS,https://test.yssofindia.org/teachings-library/living-with-a-positive-and-joy-filled-attitude-by-namita-mai,/blog/living-with-a-positive-and-joy-filled-attitude-by-namita-mai,/teachings-library/living-with-a-positive-and-joy-filled-attitude-by-namita-mai
860447,OIS,https://test.yssofindia.org/teachings-library/how-to-improve-your-attention-and-concentration-by-swami-govindananda-giri,/blog/how-to-improve-your-attention-and-concentration-by-swami-govindananda-giri,/teachings-library/how-to-improve-your-attention-and-concentration-by-swami-govindananda-giri
838327,OIS,https://test.yssofindia.org/teachings-library/scientific-healing-by-gods-infinite-cosmic-energy-by-swami-bhumananda-giri,/blog/scientific-healing-by-gods-infinite-cosmic-energy-by-swami-bhumananda-giri,/teachings-library/scientific-healing-by-gods-infinite-cosmic-energy-by-swami-bhumananda-giri
881239,OIS,https://test.yssofindia.org/teachings-library/rediscovering-your-higher-self-by-swami-govindananda-giri,/blog/rediscovering-your-higher-self,/teachings-library/rediscovering-your-higher-self-by-swami-govindananda-giri
851092,OIS,https://test.yssofindia.org/teachings-library/facing-lifes-challenges-with-courage-and-faith-by-swami-nakulananda-giri,/blog/facing-lifes-challenges-with-courage-and-faith,/teachings-library/facing-lifes-challenges-with-courage-and-faith-by-swami-nakulananda-giri
882116,OIS,https://test.yssofindia.org/teachings-library/gods-nature-in-the-mother-by-draupadi-mai,/blog/gods-nature-in-the-mother,/teachings-library/gods-nature-in-the-mother-by-draupadi-mai
816076,OIS,https://test.yssofindia.org/teachings-library/taking-shelter-in-god-by-swami-satyananda-giri,/blog/taking-shelter-in-god,/teachings-library/taking-shelter-in-god-by-swami-satyananda-giri
873541,OIS,https://test.yssofindia.org/teachings-library/the-liberating-power-of-affirmation-by-swami-prafullananda-giri,/blog/the-liberating-power-of-affirmation,/teachings-library/the-liberating-power-of-affirmation-by-swami-prafullananda-giri
841760,OIS,https://test.yssofindia.org/teachings-library/kriya-yoga-science-of-spiritual-living-for-the-modern-age-by-swami-chidananda-giri,/blog/kriya-yoga-science-of-spiritual-living-for-the-modern-age-by-swami-chidananda-giri,/teachings-library/kriya-yoga-science-of-spiritual-living-for-the-modern-age-by-swami-chidananda-giri
837275,OIS,https://test.yssofindia.org/teachings-library/perseverance-secret-of-spiritual-success-by-swami-nakulananda-giri,/blog/perseverance-secret-of-spiritual-success,/teachings-library/perseverance-secret-of-spiritual-success-by-swami-nakulananda-giri
884396,OIS,https://test.yssofindia.org/teachings-library/the-need-for-a-true-guru-in-ones-life-by-swami-smaranananda-giri,/blog/the-need-for-a-true-guru-in-ones-life,/teachings-library/the-need-for-a-true-guru-in-ones-life-by-swami-smaranananda-giri
881068,OIS,https://test.yssofindia.org/teachings-library/the-cosmic-motion-picture-by-swami-bhumananda-giri,/blog/the-cosmic-motion-picture,/teachings-library/the-cosmic-motion-picture-by-swami-bhumananda-giri
888531,OIS,https://test.yssofindia.org/teachings-library/the-secrets-of-spiritual-progress-by-swami-jayananda-giri,/blog/the-secrets-of-spiritual-progress,/teachings-library/the-secrets-of-spiritual-progress-by-swami-jayananda-giri
838194,OIS,https://test.yssofindia.org/teachings-library/harnessing-the-power-of-the-mind-by-swami-govindananda-giri,/blog/harnessing-the-power-of-the-mind,/teachings-library/harnessing-the-power-of-the-mind-by-swami-govindananda-giri
851020,OIS,https://test.yssofindia.org/teachings-library/cultivating-spiritual-enthusiasm-by-swami-sattvananda-giri,/blog/cultivating-spiritual-enthusiasm,/teachings-library/cultivating-spiritual-enthusiasm-by-swami-sattvananda-giri
884658,OIS,https://test.yssofindia.org/teachings-library/experiencing-god-within-by-swami-anandamoy-giri,/blog/experiencing-god-within,/teachings-library/experiencing-god-within-by-swami-anandamoy-giri
880017,OIS,https://test.yssofindia.org/teachings-library/cultivating-deeper-faith-by-swami-achalananda-giri,/blog/cultivating-deeper-faith,/teachings-library/cultivating-deeper-faith-by-swami-achalananda-giri
860661,OIS,https://test.yssofindia.org/teachings-library/how-you-can-talk-with-god-by-karuna-mai,/blog/how-you-can-talk-with-god,/teachings-library/how-you-can-talk-with-god-by-karuna-mai
812301,OIS,https://test.yssofindia.org/teachings-library/prayer-trusting-god-in-every-circumstance-by-mukti-mata,/blog/prayer-trusting-god-in-every-circumstance-by-mukti-mata,/teachings-library/prayer-trusting-god-in-every-circumstance-by-mukti-mata
854474,OIS,https://test.yssofindia.org/teachings-library/guru-and-disciple-an-eternal-covenant-of-love-by-swami-bhaktananda-giri,/blog/guru-and-disciple-an-eternal-covenant-of-love,/teachings-library/guru-and-disciple-an-eternal-covenant-of-love-by-swami-bhaktananda-giri
896930,OIS,https://test.yssofindia.org/teachings-library/kriya-yoga-universal-science-of-god-realization-by-swami-anandamoy-giri,/blog/kriya-yoga-universal-science-of-god-realization,/teachings-library/kriya-yoga-universal-science-of-god-realization-by-swami-anandamoy-giri
889909,OIS,https://test.yssofindia.org/teachings-library/developing-a-moment-to-moment-relationship-with-god-by-swami-govindananda-giri,/blog/developing-a-moment-to-moment-relationship-with-god,/teachings-library/developing-a-moment-to-moment-relationship-with-god-by-swami-govindananda-giri
870446,OIS,https://test.yssofindia.org/teachings-library/yoga-and-the-steps-to-unconditional-love-by-swami-bhumananda-giri,/blog/yoga-and-the-steps-to-unconditional-love,/teachings-library/yoga-and-the-steps-to-unconditional-love-by-swami-bhumananda-giri
844534,OIS,https://test.yssofindia.org/teachings-library/opening-our-hearts-and-minds-to-the-guru-by-bhakti-mai,/blog/opening-our-hearts-and-minds-to-the-guru,/teachings-library/opening-our-hearts-and-minds-to-the-guru-by-bhakti-mai
818573,OIS,https://test.yssofindia.org/teachings-library/keep-on-keeping-on-taking-god-with-you-by-swami-achalananda-giri,/blog/keep-on-keeping-on-taking-god-with-you,/teachings-library/keep-on-keeping-on-taking-god-with-you-by-swami-achalananda-giri
832397,OIS,https://test.yssofindia.org/teachings-library/deepen-your-meditations-let-go-of-the-drama-by-swami-satyananda-giri,/blog/deepen-your-meditations-let-go-of-the-drama,/teachings-library/deepen-your-meditations-let-go-of-the-drama-by-swami-satyananda-giri
871963,OIS,https://test.yssofindia.org/teachings-library/forgiveness-experiencing-the-compassion-of-god-by-swami-saralananda-giri,/blog/forgiveness-experiencing-the-compassion-of-god,/teachings-library/forgiveness-experiencing-the-compassion-of-god-by-swami-saralananda-giri
